review,sentiment
"Julie Delpy stars in this horrific film about a sadistic relationship between a father and a daughter in France of the 14th Century. The film attempts to shatter the romantic chivalry image of the heroic medieval knight, by showing a rather dreary image of the period, defined by psychological dysfunction, and violence. <br /><br />The movie opens with a child, François, growing up in the shadow of the Hundred Years' War, told by his father to keep his mother safe and to wait for his return. François takes action when he discovers his mother with a lover in bed. François murders him in the name of defending his father's honour. Like father like son, François grows up, and leaves his family, also to go to the same war. This setting is somewhat of an explanation for the events to come, as on his way home, we already notice that something is wrong with François. The war has not done well with him, he has changed.<br /><br />The daughter, Béatrice de Cortemart (Delpy), awaits her beloved father, to return from captivity of the English. She is pure of heart and she was left to take care of the estate while her father was gone. In her father's absence, Béatrice needs to deal with financial difficulties, which strengthens Béatrice's hope that her father will return to save her. But, upon his return, she notices that he lost the will to enjoy life, and he tortures and humiliates everything around him, even his own daughter. From this points the film depicts various ways how François torments his family. Starting with humiliating his own son, and ending with the rape of his own daughter, Béatrice.<br /><br />Setting the film in the Middle Ages supposed to soften the blow, as the viewer may tell himself, that these kind of violent acts were held in difficult times. And indeed, many films on the topic of Incest, such as Tim Roth's ""The War Zone (1999)"" which are contemporary were more shocking because of that.<br /><br />Delpy appears in this film in several daring nude scenes. Indeed she appears to be angelic and beautiful.<br /><br />I was annoyed when I saw some animal torture scenes. I believe, and this is not confirmed, that some birds were killed for the making of this film, which really upsets me. The quality of a film drops when real violence is used towards animals. I would hope that this movie will be re-released without those cruelty scenes. Those scenes do not contribute much to the film storyline.<br /><br />Overall, the movie is too long. The script is problematic. We don't get to see François and Béatrice before the war, we don't really get the answer why is he changed to such extreme. I would have pass on this film, however, I have to mention a few scenes that made this film worth watching:<br /><br />* Scenes of a young child being able to murder in cold blood is truly shocking. I saw it first time on ""City of God (2002)"". Here, François, murders his mother's lover, while his father away at war. Excellent scene and very graphic. * The scenes from Béatrice being raped by her father till she finds out she is pregnant from him are truly shocking and interesting. The scene after the rape, where Delpy burns her cloths and cleans herself. She asks her brother to kick her in the stomach with hopes to have a miscarriage.<br /><br />* The brother humiliation scenes where the father dumps his son's head into the food - humiliating him then ranting about the war. Later, dressing his son with women's cloths.<br /><br />The film won the César (French Oscar) for Best Costume Design, I agree, the costumes here really make the film look authentic for the time period. The movie location is Château de Puivert, a real 12th century castle and a historical monument, located in Aude, South-Central France. Beautiful castle and mountain view, really helps you set into the period of this film. The film also nominated for 3 more César awards, but they were all snatched to the widely successful French film ""Au revoir, les enfants"" (""Goodbye, Children"", 1998).<br /><br />--- Released as ""Beatrice"" in New York City, March 1987. Only to be screened in France on November 2007. Watched it on YES3 on 3 May 2007, 17:45, at work.",negative
"French Cinema sucks! Down with all these psychiotric visions with their my-God-am-I-cultivated distinguished attitudes! Pestilence to conceited symbolic film-language and impervious chiffres! I'll no longer have a mind for that! Léos Carax, did you ever think about, that a dialogue in a film could be natural and vivid??? Maybe I'm too common to understand you? Or had it been your task to confirm all the clichés of a Frenchman the world can have? Guillaume the to-be-guilliotined comes to his home-palace, Mme. Deneuve, not in the picture, plays the flute: ""Here am I, darling!"" In this moment, I knew, that she's in the bathtub, and we`ll see her lying in there soon. Don't misunderstand me, I'm not prudish, and the incestous sex scene was the climax of the film. But this is, in Berlin, we say ""etepetete"", what means something like ""être-peut-être"", a snobistic, self-satisfied, and, the worst, seen that often in French movies I can tell! Other example: She, beautiful and willing, is looking at herself in a mirror, combing her hair, and her wild-bearded, dirty young guru rushs into the room, breathless shouting: ""There's no escape, there's no escape!"" Forty years after existencialistic Sartres and consorts- what's new, what's exciting about? My God, there's that woman and she loves and admires you, what would be more natural to be happy with your life? And when you're not, please explain much better, why!! Born French means you have to live a life in extravaganza, no escape, is that the point?",negative
"Mickey Rooney (as Mi Taylor) is a young man drifting along the figurative road to ruin, where he meets 12-year-old Elizabeth Taylor (as Velvet Brown) - she adores horses, but he has a sad history with the animals. Ms. Taylor is enamored with Mr. Rooney's horse-sense; she takes him home, and gets him room and board with her family. They are supported very well by Anne Revere and Donald Crisp (as Mr. and Mrs. Brown). Butch Jenkins and Angela Lansbury are Taylor's strained siblings.<br /><br />The plot of ""National Velvet"" is implausible to a fault; for example, the circumstances leading to Taylor's ride in the ""Big Race"" are quite a stretch (but were likely more believable on paper). Still, the characters' connection to horses, and to Ms. Revere's character are nicely conceived. Rooney and Taylor are excellent in the starring roles; there is a balance between Rooney's fading ""child star"" and Taylor's exuberant new ""child star"", which adds depth to their characterizations.<br /><br />The excellent performances of Rooney and Taylor are further enhanced by fine direction, photography, and editing from Clarence Brown, Leonard Smith, and Robert Kern. A sentimental classic. <br /><br />******** National Velvet (12/14/44) Clarence Brown ~ Mickey Rooney, Elizabeth Taylor, Anne Revere",positive
"* Terrible * * Below Par * * * Not Bad * * * * Good * * * * * Brilliant<br /><br />WARNING *MINOR SPOILERS*<br /><br />Homosexuality these day's is hardly the taboo subject it was over forty years ago.However it must be said that perhaps more so in America than say, over here in the U.K. it can still be a touchy subject.Just look at the whole debacle of gay's in the millitary some years ago in the US.It's with 'In and Out' that writer Paul Rudnick taps in to the small town mentality of middle America and the way the press in the US (As well as in the UK) make such a big deal in outing a celebrity.You need only look at when Will Young and Stephen Gately of Boyzone came out of the closet.<br /><br />The movie centres on Howard Brackett(Kevin Kline), a High school English teacher in his home town.The local people are preparing themselves for Oscar night as one of the nominees Cameron Drake(Matt Dillon) came from their town and was a former pupil of Howards. Cameron, who plays a gay soldier in a vietnam epic wins the award only to out Howard as being gay during his acceptance speech.This could not come at a worse time for Howard who is just day's away from marrying his fiance and fellow school teacher Emily(Joan Cusack).As you would expect the media reaction is cataclysmic and turn's Howards life upside down.Not only does he try to convince his family and friends that he is not gay but evade sleazy news reporter, Peter Malloy(Tom Selleck).<br /><br />Although this was billed as a screwball comedy it's clear that Rudnick and director Frank Oz are also attempting to be satirical.You only have to look at the early scenes at the Oscars cerimonee and the way the people of Bracketts home town as well as the teaching board of the school react to his outing.<br /><br />Sadly the film doesn't live up to the promise we see early on in the movie.This is a pretty flat attempt to make social commentary out of a wacky comedy.A good cast is sadly wasted on a script that never really delivers the nessecary amount of laughs and is no where near as insightful as it thinks it.<br /><br />Kline gives us the same kind of endearing performance that he gave us in his earlier comedy 'Dave', making Howard an instantly likeable character. Cusack too is good value as Howard's weight obsessed fiance while Tom Selleck play's very well against type as a gay news reporter.Bob Newhart is a joy also, as the principal of the high school where Howard works.It's great to see him on the big screen for a change.It's a shame that it had to be this.<br /><br />The performances as good as they are can do little to rescue the movie from being a rather dull affair.While a couple of scenes do offer some amusement.Namely the inspired scene where Howard attempts to make himself seem more manly by listening to a self help tape.There is little to enjoy, and when things can't seem to get any worse Rudnick resorts to a sickening finale that lurches in to over the top sentiment. I also couldn't help but feel that my intelligence was being insulted.Malloy appears to be too sleazy a character to become the man who put's his ethics before getting a good story while Cammeron finally come to the rescue in the film's climax seems at first to be too self involved a character to care a jot about what happens to his former teacher.After all it's he who caused all the trouble in the first place.<br /><br />'In and Out' isn't exactly dire.But when you consider the likes of Klines better work like 'A Fish called Wanda' you can't help but feel that here is a great talent being sadly wasted.<br /><br />Robs Rating:* *",negative
"okay, but just plain dumb. Not bad for a horror/comedy film. I was reading how people switched it with the Michael version and that is a good trick in my opinion because some grown ups hate horrors and when they see this one it will get them interested in horror films like this one or maybe (never seen it) the horror (possibly comedy) uncle Sam, i'll have to see about renting or buying that film but the 2nd is way better then this one but i bought this one on VHS of Amazon and got it November 21, the day before thanksgiving. worth the four bucks, l.o.l. at this film.<br /><br />9/10",positive
"David Lynch's (1999) film of John Roach / Mary Sweeney's story is set in Iowa and Wisconsin some time well before the film's eventual release.<br /><br />We come into the life of Alvin Straight (Richard Farnsworth) late on in life. His medical condition is poor, his life is mostly behind him and he knows it.<br /><br />This makes what he decides to do, even more remarkable and endearing. He decides (and at every point in the film his own name reverberates through his actions) to put a few things straight.<br /><br />Alvin is, by this time in his life, a man of great experience but modest means. His daughter Rose (Sissy Spacek) struggles with a speech impediment that makes communication a great effort on the audience's behalf. But it's worth it, because Rose's story cannot help but come out as the film progresses.<br /><br />This film is the story of a journey. But like all journeys it is a journey in the geographical sense and in the human sense. Early on in the film, we begin to understand that this is an ambitious journey, which no elderly gentleman of Alvin's age should reasonably undertake.<br /><br />But along the way, we slowly learn how Alvin has so many qualifications which equip him to achieve his unlikely objective. His objective is very simple and straightforward. His brother is ill and likely to die and he wants to visit him. He has had a falling out with him many years ago and they have not spoken in a very long time.<br /><br />Along the way, Alvin meets many people. The way he behaves towards them and the benefit they get from having known him is the essence of this film. We come to know who Alvin Straight is, from what Alvin Straight does. And at the end of the film, we know who we are .. better.",positive
"I finally watched the third film in Mehta's trilogy: ""Fire"". To begin, I'd say that ""Water"" was the unquestionable masterpiece, on all levels. Fire comes next with Earth close behind in order of quality. Fire: there is so much going on in this film that I'll need a few more viewings to drink it all in. The writing is superb, the script creating friction that starts the entire process of ""heat"" from the beginning until the end when it really does erupt into a fire, the conflicts moving into complete rupture of relationships. <br /><br />Mehta is one brave lady: she sees with a clear eye much that is jaundiced, false and repressive about the great society from which she came from. India is rapidly changing these days but much of this is economic change. That she met with such ferocious opposition to the making of ""Water"" after having had the script cleared, shows that there are still many taboo subjects which Indian people more than less cannot look squarely in the face, cannot examine or discuss them. Worse, if someone like Mehta has the courage to hold up a mirror to these issues, she faces death threats. So, as much as India thinks of itself as a pluralistic, tolerant society, the facts are not always so. Whereas ""Earth"" was merely a historical setting of the carnage of the civil war after Indian independence, Fire and Water are pointing at personal, social and religious issues, which as I say are considered so strongly (in a negative sense) that an open artistic dialog is still many years away. As I write this ""Water"" is scheduled to actually be shown in India later this year. I'll believe it when I see it. <br /><br />Fire confronts a similar sexual and emotional conundrum that I saw in ""A price above rubies"". Whether it's arranged marriages (which it used to be like among Jews about 150 years ago, or like it is among many modern Indians), they have the risk of having a bad match forced upon both men and women; or, just plain loveless marriages..... However, this is not the real issue. Mehta is clearly impatient with the totally rigid religious attitudes that either keep widows in misery (Water) or else keep women enslaved to loveless marriages (Fire). I am no expert regarding either the secular or Hindu laws concerning divorce. The film seems to imply that the stigma (of divorce)is almost as bad as the sad marriage. In any case Mehta's film is a very moving, powerful attempt at sexual discourse that holds modern Indian relationships up to probing scrutiny. That all three of these films have made themselves felt in India as an unwarranted attack on their culture sounds to me like the predictable clamor of a repressive mindset. Mehta is forcing the issues to be looked at no matter how much flack. I admire her work and cannot highly recommend her films enough. Superb, disturbing, provocative, taboo shattering.",positive
"OK. A warning for anyone out there who is a parent or guardian. Be careful about who you see this film with - ie - DO NOT TAKE KIDS TO SEE THIS FILM. I'll explain why.<br /><br />1 - the title is misleading and the film has nothing to do with romance - I assume this was fully intentional on the producers behalf, but is annoying 2 - the film itself is really very very disturbing. I have some problems - first is the fact that the film is neither violent or sexual and therefore is not a 'horror film'. But it IS a very disturbing film ,and involves a child and his parents, and a small town.<br /><br />OK, it boils down to this. The film is not suitable for minors, because it contains sequences and images that are unsettling and would be confusing to a child. Is has a bizarre quality to it, and its ONLY because it has a child in it that makes me feel its unsuitable. As a parent myself I feel strongly enough to want to tell people because I read only the other day that it is having a release in theatres.<br /><br />I hope im not offending the film makers by saying this, but I think its my right, because its getting a release, and has an M rating only.(because its not violent or sexual). Just weird and unsettling but pretty good in and of itself.",positive
"This movie is Wonderful! I can watch it again and again. Robin hood is Perfectly cast, and Marian is beautiful. I personally think Marian's German man is the funniest character, along with Latrine and the Sheriff! While space balls got boring and stupid after a while, this one always keeps your interest! W O N D E R F U L This was a great film, and never gets boring. A great cast is in the roles, and it is spoofed perfectly, and makes so much sense, and can be watched again and again! You will love this film if you'll only watch it, except if you hate comedy, or does not think Robin Hood should be tampered with. But this old story gets boring, and this movie gives it a great new flavor!",positive
"Did anyone else notice whenever they are in the car each time the camera takes a new angle they switch roads. Like in one scene it is a one lane residential with sidewalks, next they are on a multiple lane highway with a divider, next a two lane country road with double yellow lanes. I can understand a low budget but that was just sloppy film work.<br /><br />I also read the other reviews and disagree that it was a bad movie. I think that if you are a fan of Paul Reiser and his comedy then you may enjoy this movie. If, however, you find his work/not funny then I would recommend staying away from this one.",negative
"Since growing up in Czechoslovakia I was following history of RAF pilots and crews in WWII Great Britain, their stories and tragic ending either in the combat or in communist prisons and camps. This is without any doubt more than dark chapter in our history, although the fact that those brave men we're able to go through all this and recover afterward is amazing. To all people who want to see great movie...this is the one! During recent visit of Czech Republic I saw this movie three times in three days (they we're just playing it for three days...otherwise I will go to see it even few more times!!! It's worth of it!) I hope you will enjoy it, although it requires a little more thinking and knowledge of background information behind the story, pretty much same way that the movie ""Kolya"" was. It's not a simple movie because of it's deep story, and the way its told will most likely make you crying...it did to me three times in row... Zdenek Sverak did as always a great script, his son Jan made a great movie and the cast? Without doubt all of them did great job, I was amazed by Ondrej Vetchy, by great role played by Oldrich Kaiser and all other actors which made this movie simply GREAT!!! If this is not an Oscar nomination I think that I will be on strike in Holywood.",positive
"When i watch this movie i too get excited when seen bed scenes of miss world. She has beautiful and charming body. When cute lady do bed scenes and show her fully nude body... i think male have hard to resist....i think its time for cute girls like hrishita bhatt also do nude scenes. At least no one wants to c nude body of ugly women like Seema biswas to c in bandit queen.I concur with what mallicka.b has said. The movie is portrayed in a way which appears to be a kind of vilification on the original content. Emotions aren't conveyed properly. I guess a couple of not-so-good performances also contributed to its mediocrity. In my view, Tabu would have been a much better choice for such a role instead of Aishwarya Rai. In some of her scenes, she looks a bit lusty, which is not ultimately what the movie should have portrayed. I also noticed a bit of over-acting in some of her scenes. I'm a bitter critic of Aishwarya Rai :) Can't help it; sorry for that. 'Raincoat' was a good movie by Rituparno Ghosh. And I saw Choker Bali after seeing Raincoat; I was not at all impressed",positive
"one may ask why? the characters snarl, yell, and chew the scenery without any perceptible reason except someone wanted to make a movie in barcelona. billie baldwin, is that the right one?, is forgettable in the cop/estranged-husband/loving-father-of-cute-little-blond-girl role. the story seems to have been cut and pasted from the scenes thrown away from adventure films in the last three years. ellen pompeo's lack of charisma is a black hole that seems to suck the energy out of every scene she is in. her true acting range is displayed when she takes her blouse off as the movies careens from one limp chase scene to another. unfortunately, the directing rarely goes bad enough to be camp or a parody. it is all just cliché, familiar in every respect. the director cast his own daughter as the precocious brat probably because no respectable agent would have permitted a client to ruin a career by being in such a lame, contrived and uninteresting movie. the only heist here is the theft of the investor's money and the viewer's time.",negative
"Cinderella is one of Disney's greatest films, one of those films I think you appreciate more the older you get. Disney creates a magical adaptation of the classic fairytale. I consider the film to have been the greatest of his films at the time of its release. The characters became more dimensional than earlier films, creating more depth to appreciate the characters more. Cinderella herself is, in my opinion, one of the greatest characters Disney ever created. With her kindness and dash of dry humor, she is extremely likeable; however, it is the inspiration she provides which makes her memorable. Like many people she is an endless dreamer, and she holds onto her dreams, never giving up. Even in the most adverse of situations, her dreams endure, and she won't let anyone take that away from her. Her example should serve as inspiration to everyone, and encouragement to never let go of your dreams.",positive
"Larry Fessenden has been thrashed by most of the comments on this forum. Well, the worst mistake, evidently, is the marketing of the movie and the way the DVD might have been targeted. Obviously, this is not a true horror movie, at least, not for people expecting anything that will be gory and instantly satisfying. <br /><br />""Wendigo"" is basically a film that seems to be told from the mind of the young Miles. Things that are not readily understood by children tend to stay in their young minds and ultimately dominate their fears and the menacing world they can't comprehend. It is obvious that Kim, the mother, is a psychologist, but she has no clue to what is going on in the mind of her son. This is also a story of alienation. It's clear that the father, George, is a distant figure, perhaps a workaholic, who seems to be living in a different world.<br /><br />Miles' fears reach a point of crisis during the week end in the country. That part of New York state, with its winter landscape, barren trees, play havoc on the little boy's imagination. It doesn't help that he encounters a strange figure in town, it creates even more doubts in his young mind. Ultimately, Miles' world comes crashing down on him and he can't do anything, even evoking the Wendigo spirit.<br /><br />The film is well paced and acted. Patricia Clarkson is excellent, no matter where movie she is in. Jake Weber is perfect as the distant father who has an opportunity to come closer to a son he doesn't understand. Erik Per Sullivan, as Miles, conveys the inner turmoil within him. I thought he was extremely effective since the whole movie is Miles own take on what's going on around him. Finally, John Spredakos is perfect as the menacing Otis, a man who resents the world for the way he has turned out.<br /><br />Instead of putting this movie down, future viewers should approach it with a open mind.",positive
"I like a lot of the actors/actresses involved in this project so being insulted by the movie felt even worse than if they used a unknowns .The main problem was this movie was clearly just a concept created to appeal to baby boomers .In 20 or 30 years Nbc will probably do a movie just like this about the early 90's . I can see it now a black family where the kids are involved with the la riot's and the white family has the kids rebel and listen to grunge rock music .The soundtrack will feature bands like Nirvana , N.W.A , Public Enemy , Soundgarden etc .The movie like this will be just as cheesy as The 60's and I gurantee you NBC will do it .See the biggest problem with period pieces when done buy networks is that when you are living in a certain time period you aren't thinking i am living in the 60's or whatever decade is trendy retro at the time .Next time someone does something like this they should put more weight into there project",negative
"I Last night I had the pleasure of seeing the movie BUG at the Florida Film Festival and let me say it was a real treat. The Directors were there and they did a Q&A afterwards. The movie begins with a young boy smashing a roach beneath his foot, a man who is nearby parking his car sees the young boy smash it and runs to ask the kid `why? why? did he have to kill that living creature?' in his rush to counsel the youth in the error of his ways, the man neglects to pay his parking meter, which starts off a whole chain of events involving people not at all related to him, some funny, some sad, and some ridiculous. This movie has a lot of laughs, Lots! and there are many actors which you will recognize. The main actors who stood out in the film for me were: Jamie Kennedy (from his comedy show the Jamie Kennedy Experiment, playing a fortune cookie writer; John Carroll Lynch (who plays Drew's cross dressing brother on the Drew Carey show) playing the animal loving guy who just can't get it right; Brian Cox (The original Hannibal Lecter in Manhunter) playing the germaphobic owner of a Donut and Chinese Food Take Out joint. There is one line where Cox tells his chef to wash off some pigs blood that is on the sidewalk by saying ""clean up that death"" which is quite funny mostly because of Cox's ""obsessed with germs"" delivery. The funniest moment in the movie comes when a young boy imitates his father, whom he heard earlier in the day yell out `MotherF*****', while in the classroom. Another extremely funny and surreal scene is when Trudie Styler (Mrs. Sting herself) and another actor perform a scene on a cable access show, from the film the boy in the plastic bubble. The actor who hosts the cable access show is just amazing he is so serious and deadpan and his performance as both the doctor and the boy in the plastic bubble is enthralling. There are many other fine and funny actors and actresses in this film and having shot it in less than a month with a budget of just about $1 million, the directors Phil Hay and Matt Manfredi (who are screenwriters by trade, having written crazy/beautiful and the upcoming Tuxedo starring Jackie Chan) have achieved a film that is great, funny and endearing.",positive
"The biggest heroes, is one of the greatest movies ever. A good story, great actors and a brilliant ending is what makes this film the jumping start of the director Thomas Vinterberg's great carrier.",positive
